name, capital, region, population, area, language, flag
Argentina,Buenos Aires,Americas,43590400,2780400.0,Spanish,https://restcountries.eu/data/arg.svg
Spain,Madrid,Europe,46438422,505992.0,Spanish,https://restcountries.eu/data/esp.svg
Portugal,Lisbon,Europe,10374822,92090.0,Portuguese,https://restcountries.eu/data/prt.svg
Monaco,Monaco,Europe,38400,2.02,French,https://restcountries.eu/data/mco.svg
Russian Federation,Moscow,Europe,146599183,17124442.0,Russian,https://restcountries.eu/data/rus.svg
Uruguay,Montevideo,Americas,3480222,181034.0,Spanish,https://restcountries.eu/data/ury.svg
Honduras,Tegucigalpa,Americas,8576532,112492.0,Spanish,https://restcountries.eu/data/hnd.svg
Chile,Santiago,Americas,18191900,756102.0,Spanish,https://restcountries.eu/data/chl.svg
Venezuela (Bolivarian Republic of),Caracas,Americas,31028700,916445.0,Spanish,https://restcountries.eu/data/ven.svg
Paraguay,Asunción,Americas,6854536,406752.0,Spanish,https://restcountries.eu/data/pry.svg
Bolivia (Plurinational State of),Sucre,Americas,10985059,1098581.0,Spanish,https://restcountries.eu/data/bol.svg
Peru,Lima,Americas,31488700,1285216.0,Spanish,https://restcountries.eu/data/per.svg
Ecuador,Quito,Americas,16545799,276841.0,Spanish,https://restcountries.eu/data/ecu.svg
Colombia,Bogotá,Americas,48759958,1141748.0,Spanish,https://restcountries.eu/data/col.svg
Panama,Panama City,Americas,3814672,75417.0,Spanish,https://restcountries.eu/data/pan.svg
Cuba,Havana,Americas,11239004,109884.0,Spanish,https://restcountries.eu/data/cub.svg
